table_type,outcome,subsample,coef,se,p,N_full,N_regression
16_subcategories,Stealing,UV,0.162938194352463,0.0855496378674568,0.0568374111822076,1567410,48890
16_subcategories,Stealing,Urban non-UV,0.116605775792883,0.15242641416752,0.444275679439886,4872160,73660
16_subcategories,Stealing,Urban UV,0.183513677705739,0.181266984572986,0.311355910153698,998230,38340
16_subcategories,Stealing,Non-urban UV,0.120434522630273,0.0583509995390882,0.0390457214723232,569180,10357
16_subcategories,Fraud,UV,0.548206502320059,0.173594484978039,0.00159756380202534,1567410,5341
16_subcategories,Fraud,Urban non-UV,-0.0542867239703065,0.20102949374538,0.787132410608286,4872160,9806
16_subcategories,Fraud,Urban UV,0.516151143954397,0.330177260309004,0.118062897799177,998230,4509
16_subcategories,Fraud,Non-urban UV,0.463560058828847,0.100822722106689,5.1824167471159e-06,569180,618
16_subcategories,Robbery,UV,0.06192354862015,0.22967562424414,0.787464121473706,1567410,9014
16_subcategories,Robbery,Urban non-UV,0.0949115926249302,0.305190957804002,0.755813261564534,4872160,11419
16_subcategories,Robbery,Urban UV,-0.511285474436385,0.363126125712616,0.159172110441641,998230,7032
16_subcategories,Robbery,Non-urban UV,0.453522579668081,0.113527603765319,6.73922267390278e-05,569180,1773
16_subcategories,Extortion,UV,0.810258024853179,0.418312651789755,0.0530412129787165,1567410,965
16_subcategories,Extortion,Urban non-UV,0.886773885483009,0.56942964546515,0.119565447022818,4872160,1900
16_subcategories,Extortion,Urban UV,-0.420121522688355,0.912416525359362,0.645321296956808,998230,786
16_subcategories,Extortion,Non-urban UV,6.20429661950749,4.32001634904106,0.155471214857866,569180,70
16_subcategories,Public Security,UV,1.12034243783457,0.35496763262295,0.00162445651293983,1567410,1835
16_subcategories,Public Security,Urban non-UV,0.637285891407732,0.495336599368723,0.198335333047583,4872160,3252
16_subcategories,Public Security,Urban UV,0.463515127359692,0.72515247146128,0.522806587936349,998230,1312
16_subcategories,Public Security,Non-urban UV,1.86607265947105,0.762225830475728,0.014859536096774,569180,343
16_subcategories,Violent Crimes,UV,0.312435318756765,0.111836175694303,0.00521455785644369,1567410,28512
16_subcategories,Violent Crimes,Urban non-UV,0.155519396394425,0.212199609945356,0.463628766616639,4872160,38489
16_subcategories,Violent Crimes,Urban UV,0.31693965522694,0.272148150255455,0.24419906256922,998230,23063
16_subcategories,Violent Crimes,Non-urban UV,0.298283006603809,0.0670768356263435,8.88954876248657e-06,569180,5328
16_subcategories,Traffic Felony,UV,0.272135427572196,0.129951170653922,0.0362679242521082,1567410,12519
16_subcategories,Traffic Felony,Urban non-UV,-0.259914600584285,0.371802897138129,0.484519522484437,4872160,19214
16_subcategories,Traffic Felony,Urban UV,0.833437341497886,0.434051748481746,0.054876789244946,998230,7946
16_subcategories,Traffic Felony,Non-urban UV,0.134077095557461,0.0926383841996379,0.147887294280884,569180,3964
16_subcategories,Smuggling,UV,-1.67717864089065,3.69808729683152,0.65122654233541,1567410,94
16_subcategories,Smuggling,Urban non-UV,1.12331623489727,0.0769220786882145,1.43893848847755e-40,4872160,508
16_subcategories,Smuggling,Urban UV,-1.75920949759814,4.44109586094339,0.693313421020991,998230,66
16_subcategories,Smuggling,Non-urban UV,,,,,
16_subcategories,IP Infringement,UV,0.46438740516217,0.222931572244895,0.0372851915490837,1567410,5960
16_subcategories,IP Infringement,Urban non-UV,0.0177965938592198,0.172774794588452,0.917961886792487,4872160,8117
16_subcategories,IP Infringement,Urban UV,0.4807369591256,0.431407892786118,0.265182711615213,998230,5228
16_subcategories,IP Infringement,Non-urban UV,0.781631503571254,0.457028663033036,0.0878482503028219,569180,495
16_subcategories,Counterfeiting,UV,0.147300946803814,0.626687405192574,0.814210384791656,1567410,1265
16_subcategories,Counterfeiting,Urban non-UV,0.417461929827744,0.435218472641522,0.337611229875056,4872160,1510
16_subcategories,Counterfeiting,Urban UV,0.156751281675973,0.598881467773591,0.793572356645194,998230,1068
16_subcategories,Counterfeiting,Non-urban UV,3.76936422527089,11.572235478717,0.745348933520436,569180,96
16_subcategories,Bribery,UV,2.08374798912192,1.36947357057675,0.12892548512491,1567410,392
16_subcategories,Bribery,Urban non-UV,-0.0819522332837496,0.230227118526551,0.721908209349774,4872160,1897
16_subcategories,Bribery,Urban UV,1.81080953975813,1.53871696685936,0.240160071396484,998230,313
16_subcategories,Bribery,Non-urban UV,0.625800794437466,0.700186675163036,0.37906704477367,569180,29
16_subcategories,Finance,UV,-0.41626045656483,0.659303105640387,0.527933870114348,1567410,1098
16_subcategories,Finance,Urban non-UV,-0.0114286442346277,0.429794359316182,0.978787905281697,4872160,2763
16_subcategories,Finance,Urban UV,-0.285201970063516,0.98071985192586,0.771261157333473,998230,949
16_subcategories,Finance,Non-urban UV,,,,,
16_subcategories,Prostitution,UV,0.187718552695295,0.167004903726532,0.261056407138137,1567410,4803
16_subcategories,Prostitution,Urban non-UV,0.186183088207735,0.35591891156572,0.600927774630327,4872160,4320
16_subcategories,Prostitution,Urban UV,0.222096598446065,0.153188424119249,0.147181964770613,998230,4183
16_subcategories,Prostitution,Non-urban UV,0.190756459168573,1.26129403450856,0.879871906821125,569180,362
16_subcategories,Gambling,UV,0.0847367749628645,0.150893271029584,0.574421562183657,1567410,11531
16_subcategories,Gambling,Urban non-UV,0.0932331192858655,0.172460300201738,0.588790877757817,4872160,10135
16_subcategories,Gambling,Urban UV,0.0351463794248995,0.307407123675648,0.908977322974224,998230,9295
16_subcategories,Gambling,Non-urban UV,0.179410341463664,0.129273729476647,0.165345822658379,569180,1959
16_subcategories,Drugs,UV,0.183148039657858,0.087538502494692,0.0364275802978033,1567410,36260
16_subcategories,Drugs,Urban non-UV,0.0982473367462022,0.145941080439104,0.500824958407816,4872160,38590
16_subcategories,Drugs,Urban UV,-0.0310870223357,0.270430250843147,0.908482446706908,998230,28328
16_subcategories,Drugs,Non-urban UV,0.195979980374694,0.0626535122881689,0.00176672987959998,569180,7537
16_subcategories,Migration,UV,,,,,
16_subcategories,Migration,Urban non-UV,-0.134252222108114,0.578804719504769,0.816671041233673,4872160,516
16_subcategories,Migration,Urban UV,,,,,
16_subcategories,Migration,Non-urban UV,,,,,
4_major,Property,UV,0.190159867147248,0.089805714533224,0.034225210163127,1567410,57910
4_major,Property,Urban non-UV,0.100535267764186,0.150223944176851,0.503346721173292,4872160,87780
4_major,Property,Urban UV,0.121592458721326,0.171629232766316,0.478663214631867,998230,45670
4_major,Property,Non-urban UV,0.18950755492436,0.0619834070635283,0.00223761791109857,569180,12045
4_major,Violent,UV,0.31992578265003,0.101291021484616,0.00158712043874492,1567410,39810
4_major,Violent,Urban non-UV,0.0749629691900443,0.208735234847489,0.719499610364653,4872160,55923
4_major,Violent,Urban UV,0.343757635218239,0.246665726133516,0.163443384982176,998230,30370
4_major,Violent,Non-urban UV,0.292476072876725,0.0614465566305392,1.96634229960842e-06,569180,9398
4_major,Corporate,UV,0.422386262597493,0.183782602326879,0.0215676670959835,1567410,9108
4_major,Corporate,Urban non-UV,0.185959338018127,0.125237579077394,0.137606417178141,4872160,13398
4_major,Corporate,Urban UV,0.497514983165109,0.331101141569784,0.132980839832217,998230,7799
4_major,Corporate,Non-urban UV,0.507388542120293,0.24577346560561,0.0392498103943484,569180,936
4_major,Underground,UV,0.178485956777784,0.0692243005486074,0.00992971059210609,1567410,47430
4_major,Underground,Urban non-UV,0.135867465550306,0.140588873170992,0.333840389051342,4872160,48820
4_major,Underground,Urban UV,0.103605073516706,0.209418679802433,0.620795742817549,998230,37516
4_major,Underground,Non-urban UV,0.201004746328579,0.0492645769490253,4.53728277223631e-05,569180,9770
